X,Y,description,name,icon_url
-9.30637143305531,38.7123485611973,KM 12,KM 12,./0.png
-9.29445346154347,38.7133255869216,KM 11,KM 11,./0.png
-9.28338522797776,38.7144818745171,KM 10,KM 10,./0.png
-9.27247308790344,38.7161235197857,KM 9,KM 9,./0.png
-9.26192281466301,38.7136284075056,KM 8,KM 8,./0.png
